dataset,layer_name,layer_idx,method,error,k,ft_method
SVHN,model.visual.transformer.resblocks.3.mlp.c_proj.weight,39,EigenCov,0.9495131906819745,32,linear
SVHN,model.visual.transformer.resblocks.3.mlp.c_proj.weight,39,EigenCov,0.930162330147035,64,linear
SVHN,model.visual.transformer.resblocks.4.mlp.c_fc.weight,45,EigenCov,0.883038965662844,8,linear
SVHN,model.visual.transformer.resblocks.4.mlp.c_fc.weight,45,EigenCov,0.8433213441529726,32,linear
SVHN,model.visual.transformer.resblocks.4.mlp.c_fc.weight,45,EigenCov,0.8047009379037848,64,linear
SVHN,model.visual.transformer.resblocks.4.mlp.c_proj.weight,47,EigenCov,0.976081329615088,8,linear
SVHN,model.visual.transformer.resblocks.4.mlp.c_proj.weight,47,EigenCov,0.9464594420572184,32,linear
SVHN,model.visual.transformer.resblocks.4.mlp.c_proj.weight,47,EigenCov,0.9268686611472732,64,linear
SVHN,model.visual.transformer.resblocks.5.mlp.c_fc.weight,53,EigenCov,0.83633382680545,8,linear
SVHN,model.visual.transformer.resblocks.5.mlp.c_fc.weight,53,EigenCov,0.8199991211701214,32,linear
SVHN,model.visual.transformer.resblocks.5.mlp.c_fc.weight,53,EigenCov,0.7848728987432378,64,linear
SVHN,model.visual.transformer.resblocks.5.mlp.c_proj.weight,55,EigenCov,0.9515038745990299,8,linear
SVHN,model.visual.transformer.resblocks.5.mlp.c_proj.weight,55,EigenCov,0.9483010500652383,32,linear
SVHN,model.visual.transformer.resblocks.5.mlp.c_proj.weight,55,EigenCov,0.9266829558928397,64,linear
Cars,model.visual.transformer.resblocks.0.mlp.c_fc.weight,13,EigenCov,0.8488501392415638,8,standard
Cars,model.visual.transformer.resblocks.0.mlp.c_fc.weight,13,EigenCov,0.7146524674299275,32,standard
Cars,model.visual.transformer.resblocks.0.mlp.c_fc.weight,13,EigenCov,0.5851900795736871,64,standard
Cars,model.visual.transformer.resblocks.0.mlp.c_proj.weight,15,EigenCov,0.7282647400137128,8,standard
Cars,model.visual.transformer.resblocks.0.mlp.c_proj.weight,15,EigenCov,0.7418195394878591,32,standard
Cars,model.visual.transformer.resblocks.0.mlp.c_proj.weight,15,EigenCov,0.7417061031887572,64,standard
