task,layer,layer_idx,entry_idx,rho,ft_method
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_fc,6,8,0.0677606607388351,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_fc,6,9,0.0119122585568116,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_fc,6,10,0.0388230946274574,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_fc,6,11,0.0381760716277776,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_fc,6,12,0.0139295099010217,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_fc,6,13,0.0030996958845493,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_fc,6,14,0.0310036333078551,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_fc,6,15,0.0418745338669111,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_fc,6,16,0.0405178601999018,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_fc,6,17,0.0881876982030411,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_fc,6,18,0.0128361121892425,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_fc,6,19,0.0757641964985581,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_fc,6,20,0.0166286569598405,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_fc,6,21,0.0467120743489948,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_fc,6,22,0.0412473094602368,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_fc,6,23,0.0008004731828037,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_fc,6,24,0.090559236031042,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_fc,6,25,0.0064702593223753,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_fc,6,26,0.0472496395201319,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_fc,6,27,0.0453793184995665,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_fc,6,28,0.0105785180477781,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_fc,6,29,0.0127484072840989,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_fc,6,30,0.0342103364552432,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_fc,6,31,0.1567786512392467,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_proj,7,0,0.0684435019237395,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_proj,7,1,0.0372734136160091,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_proj,7,2,0.0037183289236803,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_proj,7,3,0.0236623476329325,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_proj,7,4,0.2272302135890234,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_proj,7,5,0.0660972865240495,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_proj,7,6,0.1051583940588018,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_proj,7,7,0.0676035626789651,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_proj,7,8,0.1143518640833121,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_proj,7,9,0.0724825885039533,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_proj,7,10,0.0210051093776904,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_proj,7,11,0.0063203770527964,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_proj,7,12,0.0733916447882684,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_proj,7,13,0.0486899661150561,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_proj,7,14,0.0281964715566432,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_proj,7,15,0.0419823202929945,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_proj,7,16,0.0119728311317419,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_proj,7,17,0.1066471751561044,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_proj,7,18,0.0529999927115775,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_proj,7,19,0.0316615610818743,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_proj,7,20,0.0571892506412694,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_proj,7,21,0.0543320784183239,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_proj,7,22,0.037036970136029,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_proj,7,23,0.0571729244508136,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_proj,7,24,0.0590355010368048,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_proj,7,25,0.0873733352948803,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_proj,7,26,0.0537865532488925,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_proj,7,27,0.1334958999496664,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_proj,7,28,0.0833613531704534,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_proj,7,29,0.7056592962171611,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_proj,7,30,0.074526576014216,standard
Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_proj,7,31,0.0307616441739984,standard
