checkpoint,dataset,layer,cosine_similarity,cosine_similarity_accum
400,Cars,image_encoder.model.visual.transformer.resblocks.0.attn,0.6218366026878357,0.7496911883354187
400,Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_fc,0.9653275012969972,0.9788728356361388
400,Cars,image_encoder.model.visual.transformer.resblocks.0.mlp.c_proj,0.9913764595985411,0.9945251941680908
400,Cars,image_encoder.model.visual.transformer.resblocks.1.attn.q,0.7477715015411377,0.8199540972709656
400,Cars,image_encoder.model.visual.transformer.resblocks.1.attn.k,0.7477715015411377,0.8199540972709656
400,Cars,image_encoder.model.visual.transformer.resblocks.1.attn.v,0.7477715015411377,0.8199540972709656
400,Cars,image_encoder.model.visual.transformer.resblocks.1.attn.o,0.4003902971744537,0.5270368456840515
400,Cars,image_encoder.model.visual.transformer.resblocks.1.attn,0.7477715015411377,0.8199540972709656
400,Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_fc,0.9228929877281188,0.932494580745697
400,Cars,image_encoder.model.visual.transformer.resblocks.1.mlp.c_proj,0.9845397472381592,0.9847717881202698
400,Cars,image_encoder.model.visual.transformer.resblocks.2.attn.q,0.9493066668510436,0.9609972834587096
400,Cars,image_encoder.model.visual.transformer.resblocks.2.attn.k,0.9493066668510436,0.9609972834587096
400,Cars,image_encoder.model.visual.transformer.resblocks.2.attn.v,0.9493066668510436,0.9609972834587096
400,Cars,image_encoder.model.visual.transformer.resblocks.2.attn.o,0.880599856376648,0.9075292944908142
400,Cars,image_encoder.model.visual.transformer.resblocks.2.attn,0.9493066668510436,0.9609972834587096
400,Cars,image_encoder.model.visual.transformer.resblocks.2.mlp.c_fc,0.9394479393959044,0.9481480121612548
400,Cars,image_encoder.model.visual.transformer.resblocks.2.mlp.c_proj,0.9621215462684632,0.9635778069496156
400,Cars,image_encoder.model.visual.transformer.resblocks.3.attn.q,0.906929075717926,0.924749493598938
400,Cars,image_encoder.model.visual.transformer.resblocks.3.attn.k,0.906929075717926,0.924749493598938
400,Cars,image_encoder.model.visual.transformer.resblocks.3.attn.v,0.906929075717926,0.924749493598938
400,Cars,image_encoder.model.visual.transformer.resblocks.3.attn.o,0.762072741985321,0.823729932308197
400,Cars,image_encoder.model.visual.transformer.resblocks.3.attn,0.906929075717926,0.924749493598938
400,Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_fc,0.9095920920372008,0.9251209497451782
400,Cars,image_encoder.model.visual.transformer.resblocks.3.mlp.c_proj,0.932929754257202,0.9393901824951172
400,Cars,image_encoder.model.visual.transformer.resblocks.4.attn.q,0.9254575967788696,0.9351179003715516
400,Cars,image_encoder.model.visual.transformer.resblocks.4.attn.k,0.9254575967788696,0.9351179003715516
400,Cars,image_encoder.model.visual.transformer.resblocks.4.attn.v,0.9254575967788696,0.9351179003715516
400,Cars,image_encoder.model.visual.transformer.resblocks.4.attn.o,0.8131965398788452,0.8486403226852417
400,Cars,image_encoder.model.visual.transformer.resblocks.4.attn,0.9254575967788696,0.9351179003715516
400,Cars,image_encoder.model.visual.transformer.resblocks.4.mlp.c_fc,0.9350655674934388,0.9455181360244752
400,Cars,image_encoder.model.visual.transformer.resblocks.4.mlp.c_proj,0.9202695488929749,0.9321601986885072
400,Cars,image_encoder.model.visual.transformer.resblocks.5.attn.q,0.9501810669898988,0.9530664682388306
400,Cars,image_encoder.model.visual.transformer.resblocks.5.attn.k,0.9501810669898988,0.9530664682388306
400,Cars,image_encoder.model.visual.transformer.resblocks.5.attn.v,0.9501810669898988,0.9530664682388306
400,Cars,image_encoder.model.visual.transformer.resblocks.5.attn.o,0.7600255608558655,0.7563217878341675
400,Cars,image_encoder.model.visual.transformer.resblocks.5.attn,0.9501810669898988,0.9530664682388306
400,Cars,image_encoder.model.visual.transformer.resblocks.5.mlp.c_fc,0.94939523935318,0.953919231891632
400,Cars,image_encoder.model.visual.transformer.resblocks.5.mlp.c_proj,0.9508795142173768,0.9531681537628174
400,Cars,image_encoder.model.visual.transformer.resblocks.6.attn.q,0.932820200920105,0.9274652004241944
400,Cars,image_encoder.model.visual.transformer.resblocks.6.attn.k,0.932820200920105,0.9274652004241944
400,Cars,image_encoder.model.visual.transformer.resblocks.6.attn.v,0.932820200920105,0.9274652004241944
400,Cars,image_encoder.model.visual.transformer.resblocks.6.attn.o,0.7978777885437012,0.7958962321281433
400,Cars,image_encoder.model.visual.transformer.resblocks.6.attn,0.932820200920105,0.9274652004241944
400,Cars,image_encoder.model.visual.transformer.resblocks.6.mlp.c_fc,0.95864075422287,0.9587893486022948
400,Cars,image_encoder.model.visual.transformer.resblocks.6.mlp.c_proj,0.9905576109886168,0.9911925196647644
400,Cars,image_encoder.model.visual.transformer.resblocks.7.attn.q,0.9296916723251344,0.924250066280365
400,Cars,image_encoder.model.visual.transformer.resblocks.7.attn.k,0.9296916723251344,0.924250066280365
400,Cars,image_encoder.model.visual.transformer.resblocks.7.attn.v,0.9296916723251344,0.924250066280365
400,Cars,image_encoder.model.visual.transformer.resblocks.7.attn.o,0.8483553528785706,0.8380367755889893
400,Cars,image_encoder.model.visual.transformer.resblocks.7.attn,0.9296916723251344,0.924250066280365
400,Cars,image_encoder.model.visual.transformer.resblocks.7.mlp.c_fc,0.957098424434662,0.9533934593200684
400,Cars,image_encoder.model.visual.transformer.resblocks.7.mlp.c_proj,1.0009706020355225,1.0007416009902954
